Datetime,Open,High,Low,Close,Volume
2019-10-25,0.3012,0.5,0.2,0.376,22543439.709999997
2019-10-26,0.376,0.3795,0.2503,0.262,11681713.869999997
2019-10-27,0.262,0.2736,0.2084,0.2121,6204081.96
2019-10-28,0.2136,0.25,0.205,0.2126,7968877.300000002
2019-10-29,0.2133,0.2229,0.2076,0.211,3277198.86
2019-10-30,0.211,0.214,0.1932,0.1974,2725399.59
2019-10-31,0.1962,0.2096,0.1816,0.1921,5337839.390000001
2019-11-01,0.193,0.1967,0.1869,0.1911,2527720.4600000004
2019-11-02,0.1903,0.2024,0.1881,0.1954,3273725.12
2019-11-03,0.1954,0.262,0.1929,0.2352,12606871.740000002
2019-11-04,0.2328,0.2467,0.2174,0.2211,11232858.589999998
2019-11-05,0.2215,0.2287,0.2104,0.2206,6719134.79
2019-11-06,0.2215,0.2272,0.2025,0.2028,4348726.7
2019-11-07,0.2032,0.2231,0.2008,0.2203,5459661.46
2019-11-08,0.2196,0.2208,0.1985,0.2149,5359697.86
2019-11-09,0.2129,0.2231,0.2018,0.2056,3965826.21
2019-11-10,0.2056,0.21,0.1991,0.1995,2438251.58
2019-11-11,0.1996,0.2027,0.1915,0.1951,2088239.0600000008
2019-11-12,0.1952,0.196,0.1874,0.1916,1297003.57
2019-11-13,0.1914,0.196,0.1902,0.1932,948242.3399999999
2019-11-14,0.1945,0.195,0.1822,0.1825,1509655.2100000002
2019-11-15,0.1826,0.1856,0.1732,0.185,2818162.2300000004
2019-11-16,0.1847,0.1893,0.1822,0.1822,1344544.1999999997
2019-11-17,0.1821,0.1841,0.1786,0.1792,932831.87
2019-11-18,0.179,0.1793,0.165,0.1676,1499495.06
2019-11-19,0.169,0.169,0.1529,0.157,2196885.7600000007
2019-11-20,0.157,0.1591,0.1452,0.1469,1281751.56
2019-11-21,0.1469,0.1485,0.1267,0.1295,2539048.26
2019-11-22,0.1295,0.1322,0.1049,0.114,5083336.5200000005
2019-11-23,0.114,0.1357,0.1083,0.1231,6631005.070000001
2019-11-24,0.1225,0.1404,0.1199,0.1257,9471139.299999999
2019-11-25,0.1257,0.1257,0.1045,0.1155,8706539.61
2019-11-26,0.115,0.1159,0.1105,0.1138,2727102.3899999997
2019-11-27,0.1148,0.1161,0.1065,0.1129,2614524.02
2019-11-28,0.1134,0.1225,0.112,0.1151,3217861.769999999
2019-11-29,0.1152,0.1203,0.114,0.1164,1528806.69
2019-11-30,0.1164,0.1173,0.1085,0.1102,1365602.5999999999
2019-12-01,0.1104,0.1104,0.1054,0.1071,917153.9100000001
2019-12-02,0.1071,0.1084,0.1035,0.1046,1315887.43
2019-12-03,0.1047,0.1056,0.1,0.1018,2185524.7600000002
2019-12-04,0.1018,0.102,0.095,0.0969,2219699.5299999993
2019-12-05,0.0964,0.097,0.0911,0.0932,1254021.7199999997
2019-12-06,0.0934,0.0998,0.0928,0.0984,1638680.0
2019-12-07,0.098,0.0988,0.0939,0.094,1035540.84
2019-12-08,0.0945,0.103,0.0928,0.1006,2506281.67
2019-12-09,0.0999,0.1066,0.0976,0.0989,2388062.0300000007
2019-12-10,0.0981,0.0987,0.0883,0.0902,1405869.64
2019-12-11,0.0902,0.0931,0.0876,0.0884,669509.8200000001
2019-12-12,0.089,0.0896,0.0843,0.0848,1349176.7799999998
2019-12-13,0.0849,0.0917,0.0843,0.0854,1275690.4899999998
2019-12-14,0.086,0.0868,0.0817,0.082,568792.9299999999
2019-12-15,0.0823,0.0995,0.0817,0.0919,3613339.6999999997
2019-12-16,0.0921,0.097,0.0843,0.0854,1797416.8900000001
2019-12-17,0.0852,0.0855,0.0804,0.0811,731654.0
2019-12-18,0.0811,0.1002,0.0811,0.0965,4091912.67
2019-12-19,0.0965,0.1267,0.0955,0.1189,12021107.68
2019-12-20,0.1184,0.1249,0.1096,0.1123,6528676.19
2019-12-21,0.1124,0.1128,0.1039,0.1064,5187717.459999999
