Datetime,Open,High,Low,Close,Volume
2020-08-29,45.07,100.0,45.07,74.989,206615.787
2020-08-30,74.99,90.101,70.1,71.8,323136.28599999996
2020-08-31,72.141,75.033,64.496,68.369,118219.11499999999
2020-09-01,68.406,75.0,57.906,60.222,168599.892
2020-09-02,60.213,68.3,54.183,59.371,97841.99100000001
2020-09-03,59.353,62.057,40.0,43.052,190848.93500000006
2020-09-04,43.216,49.19,40.5,45.419,113531.875
2020-09-05,45.496,47.046,25.834,30.78,169215.08000000002
2020-09-06,30.497,39.999,25.7,38.404,230695.906
2020-09-07,38.341,45.0,29.192,37.849,296600.177
2020-09-08,37.999,38.499,30.5,32.841,165461.535
2020-09-09,32.825,37.789,30.617,34.568,138942.31600000002
2020-09-10,34.525,40.227,34.474,37.036,134341.756
2020-09-11,37.006,39.75,32.06,37.92,102427.579
2020-09-12,37.938,46.97,36.376,44.449,232593.73200000002
2020-09-13,44.328,45.0,35.886,39.203,162634.831
2020-09-14,39.218,41.888,36.8,39.07,121149.537
2020-09-15,38.946,39.161,31.88,32.0,117901.173
2020-09-16,31.944,33.689,28.77,30.443,116955.568
2020-09-17,30.44,32.884,28.893,30.483,101858.33000000002
2020-09-18,30.758,34.144,29.306,31.311,134842.94
2020-09-19,31.314,31.341,28.393,30.792,107300.051
2020-09-20,30.718,31.915,26.871,27.737,96356.414
2020-09-21,27.737,28.334,20.5,21.71,218133.41199999995
2020-09-22,21.795,22.77,19.809,21.4,152266.756
2020-09-23,21.485,26.687,18.57,19.252,333813.864
2020-09-24,19.213,22.45,18.873,22.45,155887.251
2020-09-25,22.388,24.098,19.912,23.06,151973.36200000002
2020-09-26,23.107,25.0,22.023,23.567,110817.57400000002
2020-09-27,23.579,24.009,21.799,23.059,72709.85000000002
2020-09-28,23.098,26.917,22.677,24.916,145353.89200000005
2020-09-29,24.917,25.551,22.56,23.401,125303.11299999998
2020-09-30,23.474,23.645,21.714,22.403,93154.46100000001
2020-10-01,22.47,23.97,20.0,20.708,119433.167
2020-10-02,20.696,21.013,18.05,20.108,178085.27499999997
2020-10-03,20.084,20.952,18.7,18.835,62174.872
2020-10-04,18.776,19.273,17.703,18.449,73261.09299999998
2020-10-05,18.446,18.734,17.252,17.303,56917.981
2020-10-06,17.337,17.474,13.732,13.877,153533.213
2020-10-07,13.894,16.51,12.788,16.169,237779.33500000002
2020-10-08,16.208,18.227,14.614,17.189,192014.58300000004
2020-10-09,17.177,21.499,16.843,21.0,165554.36700000003
2020-10-10,20.99,26.632,20.021,24.45,200719.94400000002
2020-10-11,24.45,25.0,21.987,22.706,220041.325
2020-10-12,22.632,26.796,22.2,25.562,191696.933
2020-10-13,25.568,26.5,23.963,24.82,122366.05
2020-10-14,24.839,25.391,21.004,21.706,165948.19900000002
2020-10-15,21.656,22.2,19.375,21.064,157861.41300000003
2020-10-16,21.027,21.336,18.8,19.802,182634.67099999997
2020-10-17,19.859,24.372,18.924,23.599,222267.31700000004
2020-10-18,23.535,25.0,22.25,24.442,175116.521
2020-10-19,24.441,24.592,21.386,22.05,163687.34999999998
2020-10-20,22.032,22.054,18.512,19.156,199608.16400000002
2020-10-21,19.155,22.317,18.89,20.541,234079.531
2020-10-22,20.577,24.598,20.562,24.025,201453.899
2020-10-23,24.058,26.578,21.816,25.891,353486.91599999997
2020-10-24,25.859,30.19,24.009,29.547,307531.563
2020-10-25,29.47,30.073,26.712,28.18,301345.52
