Datetime,Open,High,Low,Close,Volume
2020-09-16,20.0,300.0,20.0,92.496,585220.199
2020-09-17,92.496,107.819,57.337,62.653,264793.21400000004
2020-09-18,62.653,66.599,51.097,52.523,128181.75099999999
2020-09-19,52.621,79.963,50.855,66.561,234243.32800000004
2020-09-20,66.566,71.887,52.0,56.001,87989.594
2020-09-21,56.0,58.0,37.143,41.3,92915.984
2020-09-22,41.301,45.798,32.101,33.614,80168.097
2020-09-23,33.614,34.274,24.024,24.508,150671.87000000002
2020-09-24,24.673,33.0,23.939,28.559,144705.58699999997
2020-09-25,28.559,29.053,24.8,25.519,63772.69800000002
2020-09-26,25.551,26.3,24.3,24.683,49318.597
2020-09-27,24.683,24.753,21.0,21.773,100641.96800000001
2020-09-28,21.773,25.976,17.62,17.886,145297.61699999997
2020-09-29,17.846,18.369,15.589,16.3,89842.11399999999
2020-09-30,16.3,17.678,14.02,16.547,123034.912
2020-10-01,16.589,20.433,15.627,17.344,230737.839
2020-10-02,17.34,25.5,16.538,24.546,434091.034
2020-10-03,24.5,30.56,21.751,24.81,539113.508
2020-10-04,24.818,24.862,18.74,19.484,193246.396
2020-10-05,19.478,20.289,16.703,19.251,196010.84100000001
2020-10-06,19.251,25.7,18.697,21.667,541299.902
2020-10-07,21.669,22.2,18.351,18.729,150946.90400000004
2020-10-08,18.728,24.989,16.8,22.9,258403.967
2020-10-09,22.773,22.904,19.968,21.025,148399.06500000003
2020-10-10,21.025,21.397,18.633,18.8,108544.17699999998
2020-10-11,18.802,20.6,17.89,19.437,97028.02299999997
2020-10-12,19.387,20.0,17.7,18.656,94491.044
2020-10-13,18.65,19.294,18.083,18.58,59029.94899999999
2020-10-14,18.61,19.693,17.11,17.545,106382.768
2020-10-15,17.505,19.16,16.391,17.58,134743.68300000002
2020-10-16,17.58,17.6,15.52,16.488,96413.66599999998
2020-10-17,16.537,16.643,15.577,16.162,69426.26399999998
2020-10-18,16.158,17.0,15.881,16.297,63342.602999999996
2020-10-19,16.298,18.337,16.0,16.475,148230.153
2020-10-20,16.48,16.62,14.3,14.628,104248.035
2020-10-21,14.643,15.407,14.168,14.602,105203.98500000002
2020-10-22,14.601,16.1,14.35,14.592,106471.087
2020-10-23,14.664,14.949,13.57,13.762,79795.64799999999
2020-10-24,13.774,13.8,12.493,12.701,135242.71500000003
2020-10-25,12.735,13.131,11.44,12.298,121891.47
2020-10-26,12.295,12.316,9.03,9.887,211538.167
2020-10-27,9.884,10.6,9.33,9.422,142864.342
2020-10-28,9.4,9.719,8.166,8.436,129336.54100000001
2020-10-29,8.443,8.633,7.658,7.84,102392.16399999998
2020-10-30,7.843,8.9,7.048,8.463,146737.73099999997
2020-10-31,8.46,10.9,8.46,8.996,335740.6
2020-11-01,9.0,9.559,8.538,9.154,124472.585
2020-11-02,9.172,9.408,7.942,8.151,116975.58600000001
2020-11-03,8.151,9.75,7.75,8.847,212306.41500000004
2020-11-04,8.901,8.91,7.662,7.911,127303.60000000002
2020-11-05,7.898,8.326,7.331,7.948,130209.036
2020-11-06,7.98,8.851,7.786,8.35,163173.841
2020-11-07,8.35,9.499,7.642,8.087,148253.39100000003
2020-11-08,8.04,8.531,7.849,8.19,57495.072
2020-11-09,8.147,8.256,7.501,7.902,78425.00399999999
2020-11-10,7.901,8.5,7.621,8.365,78880.92199999999
2020-11-11,8.327,10.499,8.026,9.466,198140.67700000003
2020-11-12,9.46,11.633,9.097,9.512,303190.417
2020-11-13,9.512,10.276,9.0,9.833,139509.35900000003
2020-11-14,9.834,10.794,8.62,10.366,220284.423
2020-11-15,10.354,12.63,9.722,12.63,292799.16000000003
2020-11-16,12.63,14.709,11.541,14.709,449594.2010000001
2020-11-17,14.707,14.88,11.705,12.446,282409.813
2020-11-18,12.421,12.7,10.35,11.849,199533.68900000007
2020-11-19,11.773,13.143,11.424,11.856,165995.042
2020-11-20,11.907,13.2,11.636,12.202,118332.62599999999
