Datetime,Open,High,Low,Close,Volume
2021-03-29,0.0939,0.097,0.085,0.08724,161994166.0
2021-03-30,0.08727,0.09542,0.0866,0.09241,313394070.0
2021-03-31,0.09248,0.09277,0.07691,0.08393,323223784.0
2021-04-01,0.08384,0.08812,0.07852,0.07959,291006270.0
2021-04-02,0.07964,0.08583,0.07623,0.08038,240857351.0
2021-04-03,0.08038,0.08756,0.07533,0.07546,367800841.0
2021-04-04,0.07546,0.0802,0.0731,0.0767,267205239.0
2021-04-05,0.07678,0.08083,0.07186,0.07492,366169595.0
2021-04-06,0.07493,0.0785,0.06576,0.06916,310115814.0
2021-04-07,0.06915,0.07043,0.05283,0.06186,535901598.0
2021-04-08,0.06183,0.07525,0.06138,0.07214,447042051.0
2021-04-09,0.07211,0.07483,0.06723,0.06804,356901437.0
2021-04-10,0.06795,0.07088,0.063,0.06571,261084970.0
2021-04-11,0.06577,0.06829,0.06077,0.0636,236739704.0
2021-04-12,0.06372,0.06707,0.0603,0.06191,205800813.0
2021-04-13,0.06194,0.06518,0.05917,0.06145,233960154.0
2021-04-14,0.06157,0.07837,0.06022,0.07339,1037888146.0
2021-04-15,0.07339,0.08547,0.07125,0.07407,998820723.0
2021-04-16,0.07416,0.07717,0.0645,0.06865,538617333.0
2021-04-17,0.06861,0.07991,0.06837,0.06995,482704811.0
2021-04-18,0.06995,0.07114,0.0432,0.06062,569383558.0
2021-04-19,0.06054,0.06303,0.05235,0.05361,372735474.0
2021-04-20,0.05367,0.05897,0.04238,0.05569,1084966012.0
2021-04-21,0.05564,0.05762,0.05175,0.05178,252398019.0
2021-04-22,0.05187,0.05707,0.0488,0.05081,301885435.0
2021-04-23,0.05077,0.05273,0.04063,0.0484,426076644.0
2021-04-24,0.04841,0.04873,0.04248,0.04259,264581774.0
2021-04-25,0.04259,0.04987,0.04185,0.04345,345224504.0
2021-04-26,0.04346,0.06113,0.04278,0.05964,713905551.0
2021-04-27,0.0596,0.06861,0.05573,0.06799,432849381.0
2021-04-28,0.06799,0.0715,0.06017,0.06294,455486689.0
2021-04-29,0.0629,0.065,0.05865,0.06066,261839019.0
2021-04-30,0.06067,0.068,0.05952,0.06608,255044499.0
2021-05-01,0.06605,0.077,0.0656,0.07219,657935010.0
2021-05-02,0.07227,0.07349,0.06713,0.07068,378668482.0
2021-05-03,0.07064,0.07367,0.06674,0.0678,281979134.0
2021-05-04,0.06779,0.06801,0.05772,0.05818,382693920.0
2021-05-05,0.05818,0.06533,0.05741,0.0622,267564387.0
2021-05-06,0.0622,0.0626,0.0566,0.05804,325120748.0
2021-05-07,0.05811,0.0615,0.056,0.05807,273359922.0
2021-05-08,0.05801,0.05944,0.05529,0.05688,193474250.0
2021-05-09,0.05689,0.05749,0.05162,0.05575,273210537.0
2021-05-10,0.05575,0.05885,0.04155,0.04737,416482013.0
2021-05-11,0.04737,0.05164,0.04562,0.05092,250482553.0
2021-05-12,0.05089,0.05623,0.04063,0.04178,390694351.0
2021-05-13,0.04171,0.04623,0.039,0.04247,351976934.0
2021-05-14,0.04248,0.05027,0.0422,0.04884,303521282.0
2021-05-15,0.04886,0.0633,0.04683,0.05714,1146965545.0
2021-05-16,0.05709,0.06182,0.0501,0.05265,972579419.0
2021-05-17,0.05266,0.05266,0.04557,0.04718,509266439.0
2021-05-18,0.04716,0.07689,0.04657,0.06801,2382326703.0
2021-05-19,0.06801,0.082,0.03362,0.05021,5843872676.0
2021-05-20,0.05021,0.05844,0.04326,0.04896,1702459247.0
