Datetime,Open,High,Low,Close,Volume
2021-03-24,0.012,0.012,0.008392,0.009521,9876946545.0
2021-03-25,0.00952,0.011398,0.009381,0.009788,9877482766.0
2021-03-26,0.009791,0.01155,0.009759,0.010579,6948709200.0
2021-03-27,0.010567,0.011349,0.01015,0.010276,4575916305.0
2021-03-28,0.010279,0.011293,0.009655,0.010103,6248928587.0
2021-03-29,0.010103,0.01265,0.010068,0.011946,10447805669.0
2021-03-30,0.011944,0.014954,0.011929,0.013204,27736863457.0
2021-03-31,0.013204,0.014254,0.01165,0.01236,11203293050.0
2021-04-01,0.012359,0.014773,0.012066,0.013835,9874183838.0
2021-04-02,0.01383,0.015744,0.013525,0.015053,11440040361.0
2021-04-03,0.015054,0.018839,0.014057,0.016024,24058061979.0
2021-04-04,0.016011,0.018878,0.015552,0.01743,14402805776.0
2021-04-05,0.017435,0.022747,0.017362,0.019374,20412859362.0
2021-04-06,0.019372,0.019968,0.013257,0.017148,23304800094.0
2021-04-07,0.017148,0.017247,0.013083,0.014129,18338219788.0
2021-04-08,0.014123,0.017496,0.014016,0.016569,11487584379.0
2021-04-09,0.016566,0.016826,0.01453,0.014802,6791384096.0
2021-04-10,0.014805,0.015699,0.013278,0.013948,9293813874.0
2021-04-11,0.013948,0.015693,0.012517,0.014084,14749287085.0
2021-04-12,0.014096,0.01492,0.012731,0.013001,7951993396.0
2021-04-13,0.01301,0.013268,0.011195,0.011983,13411573387.0
2021-04-14,0.011983,0.012388,0.010306,0.011654,17743984690.0
2021-04-15,0.011666,0.01302,0.011205,0.011679,17015903584.0
2021-04-16,0.011681,0.012405,0.01059,0.01157,15805608376.0
2021-04-17,0.01157,0.0137,0.011567,0.011943,18854098641.0
2021-04-18,0.011942,0.01233,0.006,0.010136,25191628451.0
2021-04-19,0.010148,0.011197,0.008707,0.008853,15282130119.0
2021-04-20,0.008849,0.009335,0.007633,0.008729,18375745095.0
2021-04-21,0.008722,0.009871,0.008212,0.008298,13931431066.0
2021-04-22,0.008309,0.008734,0.006669,0.007118,15496217373.0
2021-04-23,0.007119,0.007599,0.00475,0.007437,27032578602.0
2021-04-24,0.007443,0.009385,0.006957,0.007549,53099175671.0
2021-04-25,0.00755,0.0087,0.006987,0.007967,24206061195.0
2021-04-26,0.007974,0.01096,0.007902,0.010493,39369921164.0
2021-04-27,0.010491,0.012898,0.010063,0.011455,28976120958.0
2021-04-28,0.011452,0.012334,0.009738,0.010976,24244436608.0
2021-04-29,0.010982,0.012038,0.010516,0.011169,18601170000.0
2021-04-30,0.011169,0.011627,0.010857,0.011453,9333210330.0
2021-05-01,0.011462,0.011997,0.011,0.011166,9001631543.0
2021-05-02,0.01117,0.011218,0.009934,0.010637,12034771869.0
2021-05-03,0.010638,0.011738,0.0106,0.010906,15083057518.0
2021-05-04,0.010913,0.01096,0.008902,0.009334,17916466996.0
2021-05-05,0.009339,0.010471,0.009187,0.009797,12421594207.0
2021-05-06,0.009797,0.010297,0.009256,0.009594,11988102246.0
2021-05-07,0.009602,0.010243,0.00924,0.00958,11462625932.0
2021-05-08,0.009578,0.009798,0.009362,0.009423,6077619262.0
2021-05-09,0.009426,0.009511,0.00828,0.009075,12000656110.0
2021-05-10,0.009075,0.009399,0.0065,0.007655,16982875421.0
2021-05-11,0.00766,0.00824,0.007526,0.007985,11046001121.0
2021-05-12,0.007985,0.008283,0.005777,0.00607,14134484074.0
2021-05-13,0.006046,0.007284,0.005529,0.006321,16637185599.0
2021-05-14,0.006325,0.0074,0.006259,0.006751,11434648661.0
2021-05-15,0.006754,0.006898,0.006076,0.006161,9602068130.0
2021-05-16,0.006169,0.007381,0.00611,0.007274,17356215733.0
2021-05-17,0.007273,0.007823,0.006112,0.00627,19096053673.0
2021-05-18,0.006267,0.006686,0.006047,0.006135,11269048863.0
2021-05-19,0.006132,0.006252,0.001752,0.00364,35520682206.0
2021-05-20,0.00364,0.00477,0.003245,0.004366,21547863058.0
