Datetime,Open,High,Low,Close,Volume
2020-08-13,830.0,870.45,702.53,790.43,93606.846
2020-08-14,790.8,817.2,715.86,729.98,76142.82
2020-08-15,729.96,735.46,681.16,695.72,72758.197
2020-08-16,695.8,709.56,684.84,696.92,66440.855
2020-08-17,696.83,764.94,676.88,686.98,28175.323
2020-08-18,686.49,696.53,647.17,675.2,22692.92
2020-08-19,675.09,684.87,627.25,649.58,24880.499
2020-08-20,649.5,698.87,647.58,661.38,21916.186
2020-08-21,661.52,673.1,600.0,603.99,24184.265
2020-08-22,604.1,650.48,594.12,642.78,28256.596
2020-08-23,642.72,650.26,623.01,638.82,19412.151
2020-08-24,638.82,695.62,635.88,677.46,31240.29
2020-08-25,677.55,678.85,611.39,638.79,31264.687
2020-08-26,638.79,656.65,629.53,641.51,30735.462
2020-08-27,641.91,647.79,612.0,617.82,29091.5
2020-08-28,617.9,637.75,611.1,637.37,25058.756
2020-08-29,637.55,646.0,630.23,631.04,22296.794
2020-08-30,631.23,686.66,630.49,677.42,26636.39
2020-08-31,677.39,689.03,657.3,681.49,21485.785
2020-09-01,681.57,745.61,672.56,718.58,29234.277
2020-09-02,718.55,720.65,632.18,661.73,25979.239
2020-09-03,661.77,666.35,552.74,557.29,27882.946
2020-09-04,557.29,603.18,550.0,584.56,27951.573
2020-09-05,584.32,598.6,500.0,513.69,28307.579
2020-09-06,513.77,547.21,480.0,544.02,25258.031
2020-09-07,544.36,551.26,500.99,528.9,25646.952
2020-09-08,529.17,530.66,500.76,507.73,24667.138
2020-09-09,507.86,534.54,500.59,522.36,23256.145
2020-09-10,522.24,557.06,522.22,533.09,22642.489
2020-09-11,532.87,538.95,507.79,523.27,25128.605
2020-09-12,523.27,532.18,494.6,514.24,32371.019
2020-09-13,514.57,516.58,483.2,499.5,29324.984
2020-09-14,499.44,518.51,473.99,486.53,32474.019
2020-09-15,487.0,501.55,450.87,454.05,31499.101
2020-09-16,454.56,478.53,437.97,474.8,29066.409
2020-09-17,475.06,543.41,468.26,503.49,39801.843
2020-09-18,503.61,506.84,480.1,500.39,25862.888
2020-09-19,500.3,531.85,492.83,512.86,25613.954
2020-09-20,512.77,515.29,465.09,475.61,25849.993
2020-09-21,475.46,488.06,430.86,452.54,35580.443
2020-09-22,452.63,467.17,438.68,461.23,26575.374
2020-09-23,461.32,468.39,432.07,435.19,29605.118
2020-09-24,435.19,487.62,429.44,485.3,27763.316
2020-09-25,485.22,516.09,474.36,504.26,27280.792
2020-09-26,504.41,527.76,499.29,525.21,23908.848
2020-09-27,525.37,528.76,489.0,502.15,24940.958
2020-09-28,502.46,549.08,502.07,512.59,27883.02
2020-09-29,512.57,538.25,504.37,526.92,26960.43
2020-09-30,526.86,575.99,504.12,570.65,29588.949
2020-10-01,570.66,598.0,552.1,576.18,33751.624
2020-10-02,576.18,577.89,529.03,552.09,35418.842
2020-10-03,552.14,583.52,546.83,557.24,26769.146
2020-10-04,557.16,571.87,548.51,569.87,20723.452
2020-10-05,569.63,576.01,542.9,564.42,21294.557
2020-10-06,564.34,567.21,512.33,520.4,26371.841
2020-10-07,520.5,531.65,500.33,523.12,28476.54
2020-10-08,523.19,537.47,497.75,533.6,27145.446
2020-10-09,533.7,570.94,523.65,566.6,26339.696
2020-10-10,566.6,613.52,565.94,587.21,27316.845
2020-10-11,587.03,597.88,576.1,587.96,21896.974
2020-10-12,587.6,599.08,572.01,587.25,20978.427
2020-10-13,586.97,596.25,561.04,574.85,20824.296
2020-10-14,574.91,597.91,559.04,575.49,24646.333
2020-10-15,575.47,576.15,547.79,557.84,24377.648
2020-10-16,557.98,558.79,529.11,542.98,30704.843
2020-10-17,542.54,561.22,532.09,553.45,21859.327
2020-10-18,553.53,577.01,551.17,574.69,19156.329
2020-10-19,574.63,582.6,562.61,570.88,21260.268
