Datetime,Open,High,Low,Close,Volume
2021-03-18,0.08193,0.103,0.0771,0.0954,766315637.0
2021-03-19,0.09531,0.12768,0.09001,0.1166,2695900240.0
2021-03-20,0.11652,0.12528,0.1075,0.11369,1005372520.0
2021-03-21,0.11377,0.1824,0.11096,0.17638,3705072939.0
2021-03-22,0.17632,0.19267,0.14847,0.15522,3580416864.0
2021-03-23,0.15521,0.18773,0.1389,0.15807,2412104157.0
2021-03-24,0.15807,0.22067,0.15737,0.19889,2938344277.0
2021-03-25,0.19847,0.20222,0.16608,0.17892,1957089065.0
2021-03-26,0.17912,0.19555,0.17515,0.18116,962394960.0
2021-03-27,0.18116,0.189,0.16347,0.16459,859785644.0
2021-03-28,0.16457,0.21117,0.16056,0.20399,1354422491.0
2021-03-29,0.20396,0.2245,0.19375,0.2004,1414948572.0
2021-03-30,0.2004,0.205,0.186,0.19046,793256630.0
2021-03-31,0.19046,0.19131,0.1681,0.17693,626745225.0
2021-04-01,0.17693,0.19679,0.17262,0.17768,535170674.0
2021-04-02,0.17776,0.1795,0.16651,0.16969,330132125.0
2021-04-03,0.16972,0.18125,0.14461,0.15193,736157223.0
2021-04-04,0.15184,0.17073,0.14862,0.15915,491337114.0
2021-04-05,0.15916,0.1698,0.15043,0.15495,570216276.0
2021-04-06,0.15495,0.16,0.13219,0.1452,632166844.0
2021-04-07,0.14532,0.16931,0.11811,0.15563,1591144067.0
2021-04-08,0.15563,0.17707,0.1535,0.16099,750109136.0
2021-04-09,0.161,0.16879,0.15455,0.15776,384376279.0
2021-04-10,0.15778,0.16083,0.14737,0.15063,309632811.0
2021-04-11,0.15076,0.15598,0.14255,0.14279,264594406.0
2021-04-12,0.14292,0.15,0.13665,0.14957,380266955.0
2021-04-13,0.14956,0.16488,0.14483,0.14777,779551062.0
2021-04-14,0.14777,0.15335,0.1392,0.14973,454015229.0
2021-04-15,0.14991,0.16578,0.14645,0.15398,623959059.0
2021-04-16,0.15398,0.15506,0.13583,0.14161,569367552.0
2021-04-17,0.14166,0.15566,0.1415,0.14364,467994646.0
2021-04-18,0.14365,0.14538,0.08677,0.12876,814409422.0
2021-04-19,0.1288,0.13914,0.1119,0.11582,607146316.0
2021-04-20,0.11584,0.12511,0.10504,0.1198,591972253.0
2021-04-21,0.11986,0.12549,0.11311,0.11439,320889546.0
2021-04-22,0.1144,0.12485,0.101,0.10426,383982686.0
2021-04-23,0.10421,0.10687,0.06786,0.10624,802335890.0
2021-04-24,0.10628,0.10945,0.09553,0.09895,327325371.0
2021-04-25,0.09891,0.10549,0.08763,0.09555,227331838.0
2021-04-26,0.09553,0.14749,0.0948,0.13604,1538230765.0
2021-04-27,0.13618,0.152,0.13169,0.1423,784428502.0
2021-04-28,0.14224,0.15212,0.12615,0.13282,510638720.0
2021-04-29,0.13289,0.14539,0.125,0.13257,515875104.0
2021-04-30,0.13259,0.15989,0.12948,0.15272,847447483.0
2021-05-01,0.15272,0.15283,0.14263,0.14607,412788564.0
2021-05-02,0.14617,0.14676,0.13554,0.14045,295955977.0
2021-05-03,0.14058,0.15031,0.13861,0.14166,334111376.0
2021-05-04,0.14167,0.14183,0.11908,0.12247,435073685.0
2021-05-05,0.12256,0.13776,0.12076,0.1312,310654985.0
2021-05-06,0.13132,0.13297,0.123,0.12755,288795153.0
2021-05-07,0.12754,0.14155,0.12408,0.13042,400512703.0
2021-05-08,0.13043,0.13418,0.12515,0.12756,196728591.0
2021-05-09,0.12764,0.13136,0.11912,0.13135,246046736.0
2021-05-10,0.13136,0.15225,0.10506,0.12165,1008486629.0
2021-05-11,0.12166,0.12981,0.11557,0.12483,357366993.0
2021-05-12,0.12482,0.13173,0.10398,0.10651,426405007.0
2021-05-13,0.1063,0.11579,0.09778,0.109,472801392.0
2021-05-14,0.109,0.1242,0.10794,0.11547,363092767.0
2021-05-15,0.1155,0.17598,0.113,0.15873,2077302774.0
2021-05-16,0.1586,0.185,0.14522,0.149,3239888137.0
2021-05-17,0.14895,0.16525,0.13193,0.13443,1441766709.0
2021-05-18,0.13445,0.18862,0.13436,0.1757,1952522295.0
2021-05-19,0.17569,0.1777,0.05788,0.10759,1963944110.0
2021-05-20,0.1076,0.13949,0.09487,0.12114,984043315.0
