Datetime,Open,High,Low,Close,Volume
2020-09-05,2.73,3.1973,1.9506,2.207,3176556.0
2020-09-06,2.2063,2.7118,1.96,2.6005,4921855.0
2020-09-07,2.5994,2.7053,2.072,2.4351,3234661.0
2020-09-08,2.4403,2.4752,2.075,2.1336,3384529.0
2020-09-09,2.1316,2.585,2.0738,2.4585,5166820.0
2020-09-10,2.458,2.58,2.0769,2.2874,3576473.0
2020-09-11,2.2894,2.4141,2.1824,2.3845,2419859.0
2020-09-12,2.3846,2.4893,2.2482,2.4143,3113595.0
2020-09-13,2.4141,2.6616,2.2104,2.3828,10188585.0
2020-09-14,2.385,2.55,2.2332,2.4014,5827143.0
2020-09-15,2.4012,2.5178,2.0099,2.0376,4520934.0
2020-09-16,2.0367,2.0388,1.751,1.828,5290192.0
2020-09-17,1.8286,1.9842,1.8026,1.9384,4463940.0
2020-09-18,1.9383,2.2758,1.9029,2.1096,7639211.0
2020-09-19,2.1093,2.1647,1.9561,2.0125,3741604.0
2020-09-20,2.0141,2.0141,1.8,1.8851,3149840.0
2020-09-21,1.8849,1.9313,1.62,1.7355,7086306.0
2020-09-22,1.7374,1.8803,1.6588,1.8597,4131327.0
2020-09-23,1.859,1.8999,1.7328,1.7442,6256743.0
2020-09-24,1.7456,1.9965,1.728,1.9791,4870364.0
2020-09-25,1.9802,2.0413,1.832,1.9693,7955968.0
2020-09-26,1.9706,2.0123,1.842,1.8975,2747912.0
2020-09-27,1.8989,1.9291,1.8016,1.884,2197840.0
2020-09-28,1.8844,1.8988,1.7609,1.7832,2226717.0
2020-09-29,1.7823,1.8069,1.7192,1.7821,1622098.0
2020-09-30,1.782,1.8869,1.6751,1.8482,3065754.0
2020-10-01,1.8491,1.9202,1.66,1.7851,4588347.0
2020-10-02,1.7832,1.7861,1.5569,1.6509,3729543.0
2020-10-03,1.6499,1.6748,1.577,1.5834,1446752.0
2020-10-04,1.5825,1.6217,1.5223,1.5884,1933106.0
2020-10-05,1.5889,1.6388,1.501,1.549,2240745.0
2020-10-06,1.5495,1.5676,1.1462,1.1533,7277929.0
2020-10-07,1.1536,1.3619,1.0871,1.2429,14002118.0
2020-10-08,1.2425,1.3103,1.1063,1.2633,7340826.0
2020-10-09,1.2635,1.4471,1.2317,1.3665,5363650.0
2020-10-10,1.3648,1.4018,1.2479,1.2566,3551317.0
2020-10-11,1.2559,1.3432,1.2064,1.2849,4629078.0
2020-10-12,1.2853,1.361,1.2748,1.3067,4250241.0
2020-10-13,1.3072,1.3519,1.2501,1.3226,2851134.0
2020-10-14,1.3225,1.3761,1.299,1.3693,4161898.0
2020-10-15,1.3695,1.5636,1.3218,1.4021,17830680.0
2020-10-16,1.4018,1.4096,1.262,1.2771,5308237.0
2020-10-17,1.2775,1.3162,1.2406,1.2822,3195987.0
2020-10-18,1.2826,1.3197,1.2717,1.2947,1531212.0
2020-10-19,1.2951,1.2996,1.1759,1.1829,3162811.0
2020-10-20,1.1835,1.1946,1.0348,1.0403,3907112.0
2020-10-21,1.0401,1.1497,1.0346,1.1018,5988640.0
2020-10-22,1.1009,1.1596,1.0902,1.1167,2944947.0
2020-10-23,1.1171,1.1338,1.0406,1.0714,3118481.0
2020-10-24,1.0711,1.1048,1.0446,1.0534,2694189.0
2020-10-25,1.0535,1.135,1.0432,1.0972,8450149.0
2020-10-26,1.0961,1.1318,0.928,1.0279,10908979.0
2020-10-27,1.027,1.2333,0.9904,1.1104,15524160.0
2020-10-28,1.1104,1.1829,0.9659,1.0024,14617420.0
2020-10-29,1.0015,1.068,0.9338,1.0245,10206270.0
2020-10-30,1.0254,1.0296,0.943,0.9881,8019438.0
2020-10-31,0.9883,1.0168,0.9651,0.9704,3743577.0
2020-11-01,0.9706,1.0135,0.9563,0.9834,2343846.0
2020-11-02,0.9836,1.009,0.9329,0.9359,3401260.0
2020-11-03,0.9354,0.9357,0.8373,0.8514,5140161.0
2020-11-04,0.8521,0.8554,0.7886,0.8298,4115062.0
2020-11-05,0.83,0.8827,0.8033,0.8592,4597051.0
2020-11-06,0.8592,1.0029,0.8565,0.9945,7371055.0
2020-11-07,0.9942,1.2035,0.9938,1.0745,20390679.0
2020-11-08,1.0744,1.1377,1.0272,1.1147,7389106.0
2020-11-09,1.115,1.1285,1.004,1.0302,5330906.0
2020-11-10,1.0305,1.2333,1.0179,1.1845,9913733.0
2020-11-11,1.184,1.2046,1.0847,1.0979,7959828.0
2020-11-12,1.0965,1.1263,1.0089,1.0379,5435420.0
2020-11-13,1.0372,1.1015,1.0299,1.072,5844099.0
2020-11-14,1.0731,1.0842,1.0001,1.0343,7758935.0
2020-11-15,1.0351,1.1993,1.0325,1.1877,12393353.0
2020-11-16,1.1895,1.3462,1.1583,1.2671,22027628.0
2020-11-17,1.2673,1.3078,1.1612,1.2456,11935122.0
2020-11-18,1.2464,1.2726,1.0855,1.1337,13651384.0
2020-11-19,1.1334,1.171,1.075,1.1183,9595617.0
2020-11-20,1.1191,1.2189,1.112,1.1451,10434010.0
2020-11-21,1.145,1.2824,1.1191,1.264,15787029.0
2020-11-22,1.2637,1.2784,1.12,1.1901,12641895.0
2020-11-23,1.1892,1.3673,1.1632,1.2891,16071330.0
2020-11-24,1.2895,1.3465,1.1834,1.2335,14783668.0
2020-11-25,1.2337,1.2778,1.1149,1.1567,12183885.0
2020-11-26,1.1564,1.1785,0.9235,1.0317,18052091.0
2020-11-27,1.0315,1.0485,0.9569,0.9995,7025720.0
2020-11-28,0.999,1.0381,0.9612,1.0147,4766008.0
2020-11-29,1.014,1.0387,0.9933,1.034,4458681.0
2020-11-30,1.0341,1.0887,1.0121,1.0659,7407086.0
2020-12-01,1.0654,1.3284,1.0575,1.2027,30743840.0
2020-12-02,1.2025,1.2879,1.1746,1.216,15554598.0
2020-12-03,1.2162,1.2687,1.1841,1.2485,9243179.0
2020-12-04,1.2484,1.2625,1.1031,1.1152,9178669.0
2020-12-05,1.1149,1.2008,1.0986,1.18,5351558.0
2020-12-06,1.18,1.1867,1.1132,1.1547,4244319.0
2020-12-07,1.155,1.1993,1.1239,1.1882,4961825.0
2020-12-08,1.1881,1.2355,1.0603,1.0759,11261008.0
2020-12-09,1.0754,1.1075,1.035,1.0996,6071517.0
2020-12-10,1.1001,1.1062,1.0173,1.0508,3671883.0
2020-12-11,1.051,1.0557,0.9795,1.0224,5009466.0
2020-12-12,1.0224,1.071,1.0179,1.0528,3395734.0
2020-12-13,1.053,1.0925,1.0322,1.0728,3217378.0
2020-12-14,1.0723,1.0739,1.0324,1.0611,2760854.0
2020-12-15,1.0612,1.1389,1.0566,1.129,5629575.0
2020-12-16,1.1294,1.206,1.0942,1.1895,14386764.0
2020-12-17,1.1903,1.2134,1.1191,1.1408,12171788.0
2020-12-18,1.1414,1.1824,1.1114,1.1604,6903935.0
2020-12-19,1.1602,1.2622,1.15,1.2151,12044096.0
2020-12-20,1.2158,1.2161,1.1168,1.1378,7157593.0
2020-12-21,1.1375,1.1707,1.0491,1.0667,6310106.0
2020-12-22,1.0667,1.1908,1.0565,1.1165,11107783.0
2020-12-23,1.1168,1.1288,0.8735,0.9809,12279543.0
2020-12-24,0.9802,1.0483,0.9358,1.0438,6984376.0
2020-12-25,1.0444,1.0651,0.9993,1.0331,3448543.0
2020-12-26,1.0333,1.0345,0.9725,0.9838,3107835.0
2020-12-27,0.985,1.0321,0.9426,1.0008,6259216.0
2020-12-28,1.0008,1.0926,0.9964,1.0146,6913135.0
2020-12-29,1.0143,1.12,1.0141,1.0827,13337489.0
2020-12-30,1.0828,1.0911,1.0201,1.0373,3240716.0
2020-12-31,1.0373,1.0475,0.9906,1.0448,4697174.0
2021-01-01,1.0448,1.1345,1.0274,1.1326,9645007.0
2021-01-02,1.1335,1.1633,1.0422,1.0619,10605228.0
2021-01-03,1.0619,1.2031,1.04,1.1904,10089101.0
2021-01-04,1.1899,1.3401,1.0472,1.3192,28762337.0
2021-01-05,1.3198,1.6156,1.1644,1.4845,41308033.0
2021-01-06,1.4851,1.5888,1.3509,1.4469,21704816.0
2021-01-07,1.448,1.584,1.324,1.4034,19629982.0
2021-01-08,1.4025,1.8903,1.2488,1.6375,37689280.0
2021-01-09,1.6377,1.79,1.5049,1.7349,28474382.0
2021-01-10,1.7337,1.9366,1.48,1.6217,27590941.0
2021-01-11,1.6211,1.6263,1.2213,1.4126,22611797.0
2021-01-12,1.4119,1.5833,1.309,1.4487,16296233.0
2021-01-13,1.4481,1.6918,1.3751,1.662,13286777.0
2021-01-14,1.6613,1.7318,1.5723,1.699,9920186.0
2021-01-15,1.7007,1.7567,1.4945,1.7142,15848964.0
2021-01-16,1.7158,1.9766,1.7,1.7761,15091956.0
2021-01-17,1.7765,1.8539,1.6,1.818,11725371.0
2021-01-18,1.8184,2.0527,1.7803,1.9162,13594515.0
2021-01-19,1.9167,2.0228,1.7652,1.798,7073877.0
2021-01-20,1.7984,1.8906,1.6488,1.8358,9293984.0
2021-01-21,1.8359,1.8472,1.5025,1.5391,8644915.0
2021-01-22,1.5361,1.7,1.4216,1.6725,6938559.0
2021-01-23,1.6732,1.9496,1.6354,1.7665,8737210.0
2021-01-24,1.7675,1.9808,1.7262,1.9761,8494423.0
2021-01-25,1.978,2.1845,1.8664,1.9039,13782857.0
2021-01-26,1.9041,2.2377,1.8695,2.2347,16940164.0
2021-01-27,2.2317,2.2351,1.8,1.8867,10879380.0
2021-01-28,1.8853,2.0537,1.8233,1.9217,6883787.0
2021-01-29,1.9227,1.9359,1.8072,1.8914,6604906.0
2021-01-30,1.8915,2.1311,1.8114,2.0723,10666720.0
2021-01-31,2.072,2.5,2.0376,2.4929,20218905.0
2021-02-01,2.4907,2.9139,2.252,2.8609,18888856.0
2021-02-02,2.8611,3.0599,2.6716,2.972,10157681.0
2021-02-03,2.9734,2.9989,2.721,2.8586,6907033.0
2021-02-04,2.859,3.04,2.6063,2.8738,8057939.0
2021-02-05,2.8745,3.4889,2.8745,3.1524,9643452.0
2021-02-06,3.1541,3.498,2.8101,2.9119,9465523.0
2021-02-07,2.9127,2.9966,2.6088,2.8895,8947329.0
2021-02-08,2.8898,3.315,2.7895,3.1467,12455414.0
2021-02-09,3.1469,3.5394,3.0676,3.3582,14816749.0
2021-02-10,3.3706,4.4866,2.9743,4.2341,22590628.0
2021-02-11,4.2374,4.5639,3.924,4.1324,11923700.0
2021-02-12,4.1337,4.3926,3.95,4.1801,6963019.0
2021-02-13,4.182,4.54,3.7929,4.1245,11033699.0
2021-02-14,4.1316,4.1871,3.6235,3.8293,7271479.0
