Datetime,Open,High,Low,Close,Volume
2021-03-03,0.8085,0.8439,0.7702,0.7904,23656874.0
2021-03-04,0.7918,0.8049,0.6666,0.7051,36344364.0
2021-03-05,0.7062,0.7401,0.6389,0.7157,46489036.0
2021-03-06,0.7165,0.7988,0.6998,0.7324,71960254.0
2021-03-07,0.7326,0.7586,0.7043,0.7156,35488470.0
2021-03-08,0.7157,0.73,0.673,0.7174,57070082.0
2021-03-09,0.7175,0.7319,0.6885,0.7006,58202329.0
2021-03-10,0.7008,0.7019,0.4936,0.5341,448040147.0
2021-03-11,0.5338,0.543,0.4655,0.4946,399110725.0
2021-03-12,0.4946,0.498,0.3111,0.3906,1463509858.0
2021-03-13,0.3906,0.3972,0.35,0.3641,449378925.0
2021-03-14,0.3645,0.3685,0.3305,0.3305,279738505.0
2021-03-15,0.331,0.38,0.3215,0.3739,508952574.0
2021-03-16,0.3738,0.419,0.3501,0.3947,446999135.0
2021-03-17,0.3952,0.407,0.3645,0.3922,201494565.0
2021-03-18,0.3925,0.3959,0.3701,0.374,113066408.0
2021-03-19,0.374,0.3937,0.3595,0.3784,116601936.0
2021-03-20,0.3784,0.385,0.3618,0.3638,84264800.0
2021-03-21,0.3639,0.3729,0.3425,0.3673,109416688.0
2021-03-22,0.3672,0.3879,0.3469,0.3562,143827150.0
2021-03-23,0.3562,0.3678,0.3452,0.3562,79316686.0
2021-03-24,0.3562,0.37,0.305,0.3303,135395328.0
2021-03-25,0.3303,0.3365,0.3113,0.3197,108184111.0
2021-03-26,0.3198,0.3485,0.3192,0.3429,92543330.0
2021-03-27,0.3429,0.3519,0.3319,0.346,67025096.0
2021-03-28,0.346,0.3668,0.3404,0.3595,98322171.0
2021-03-29,0.3595,0.3803,0.3504,0.3748,104242115.0
2021-03-30,0.3747,0.3975,0.374,0.3833,122385091.0
2021-03-31,0.3833,0.3858,0.3398,0.3696,154778195.0
2021-04-01,0.3698,0.3767,0.355,0.363,81438434.0
2021-04-02,0.363,0.3726,0.356,0.3611,94900163.0
2021-04-03,0.3614,0.408,0.3574,0.3628,282834982.0
2021-04-04,0.3629,0.3926,0.3568,0.3886,112866163.0
2021-04-05,0.3885,0.4319,0.3666,0.423,239227892.0
2021-04-06,0.423,0.4881,0.396,0.4853,461459645.0
2021-04-07,0.4853,0.4899,0.3432,0.3822,572489849.0
2021-04-08,0.3821,0.4209,0.3781,0.4153,192314328.0
2021-04-09,0.4151,0.426,0.3974,0.4062,126065157.0
2021-04-10,0.4063,0.4287,0.4006,0.4166,142494350.0
2021-04-11,0.4166,0.4565,0.4165,0.4435,229926460.0
2021-04-12,0.4437,0.4451,0.411,0.4218,136052827.0
2021-04-13,0.4219,0.4307,0.4039,0.4253,135940107.0
2021-04-14,0.4255,0.4411,0.3811,0.4183,267063175.0
2021-04-15,0.4183,0.4476,0.4106,0.4389,134381555.0
2021-04-16,0.4393,0.4624,0.3975,0.458,260035466.0
2021-04-17,0.4582,0.5286,0.4372,0.471,509668889.0
2021-04-18,0.471,0.4757,0.2586,0.4045,541041475.0
2021-04-19,0.4045,0.4167,0.3664,0.3766,181866873.0
2021-04-20,0.3766,0.3854,0.339,0.3722,184568096.0
2021-04-21,0.3723,0.3835,0.3544,0.3568,133091130.0
2021-04-22,0.3568,0.3644,0.2985,0.2988,224772049.0
2021-04-23,0.2987,0.3039,0.2219,0.2885,560190690.0
2021-04-24,0.2886,0.2927,0.2627,0.2697,208748328.0
2021-04-25,0.2697,0.2999,0.2511,0.2701,177423815.0
2021-04-26,0.2702,0.3161,0.2666,0.314,180202268.0
2021-04-27,0.3139,0.3525,0.307,0.3476,190396239.0
2021-04-28,0.3475,0.3602,0.3082,0.3337,198934478.0
2021-04-29,0.3338,0.3492,0.3206,0.3357,255190388.0
2021-04-30,0.3356,0.3586,0.3263,0.353,158987286.0
2021-05-01,0.3531,0.3551,0.3336,0.3518,130320839.0
2021-05-02,0.3519,0.3524,0.3286,0.3416,113250177.0
2021-05-03,0.3417,0.3595,0.3405,0.3485,207018654.0
2021-05-04,0.3486,0.349,0.3013,0.31,236364363.0
2021-05-05,0.3098,0.3905,0.3055,0.3715,378582894.0
2021-05-06,0.3716,0.4035,0.3551,0.3887,508255494.0
2021-05-07,0.3887,0.4328,0.3597,0.3982,418614263.0
2021-05-08,0.3982,0.4067,0.3783,0.3819,187741403.0
2021-05-09,0.3822,0.395,0.3498,0.3777,192520049.0
2021-05-10,0.3776,0.3874,0.3047,0.3344,290389959.0
2021-05-11,0.3344,0.3639,0.3219,0.36,192093115.0
2021-05-12,0.3601,0.3715,0.2858,0.2995,196724741.0
2021-05-13,0.2995,0.325,0.28,0.3093,278291497.0
2021-05-14,0.3098,0.3292,0.3041,0.3197,114892851.0
2021-05-15,0.3196,0.325,0.2957,0.2974,135754414.0
2021-05-16,0.2973,0.3269,0.2814,0.2996,143522691.0
2021-05-17,0.2996,0.2999,0.2573,0.2756,202679822.0
2021-05-18,0.2756,0.2932,0.2729,0.2889,115678350.0
2021-05-19,0.2889,0.2925,0.1001,0.1911,461228080.0
2021-05-20,0.1915,0.2359,0.1683,0.2231,292781052.0
