Datetime,Open,High,Low,Close,Volume
2020-06-24,0.362,0.362,0.3312,0.3432,5974984.9
2020-06-25,0.3432,0.347,0.3308,0.3353,2449884.2
2020-06-26,0.3351,0.3619,0.3334,0.3528,15151477.9
2020-06-27,0.3528,0.3674,0.3076,0.3325,13551118.0
2020-06-28,0.3325,0.3419,0.3205,0.3309,4393497.6
2020-06-29,0.3309,0.3455,0.3265,0.3452,2990623.2
2020-06-30,0.3454,0.3454,0.3326,0.3351,2421534.1
2020-07-01,0.3346,0.3442,0.3314,0.3359,2743305.7
2020-07-02,0.336,0.3592,0.3315,0.3444,7936098.3
2020-07-03,0.3444,0.3991,0.3436,0.3818,33327462.7
2020-07-04,0.3816,0.4266,0.3731,0.3885,36709773.1
2020-07-05,0.3885,0.4206,0.3621,0.4155,29880729.2
2020-07-06,0.4155,0.4248,0.3881,0.4012,31883269.6
2020-07-07,0.4008,0.4288,0.3911,0.4098,30486813.7
2020-07-08,0.4098,0.4796,0.4059,0.4484,62903396.5
2020-07-09,0.4484,0.454,0.4077,0.4269,37262776.7
2020-07-10,0.4266,0.4294,0.3954,0.4115,22957704.3
2020-07-11,0.4121,0.4437,0.4095,0.4366,23873401.8
2020-07-12,0.4365,0.4433,0.4161,0.429,15225583.4
2020-07-13,0.429,0.4297,0.3957,0.4017,21057571.0
2020-07-14,0.4014,0.4059,0.3777,0.395,16321703.4
2020-07-15,0.3952,0.4095,0.3883,0.3906,11185984.5
2020-07-16,0.3906,0.4038,0.3659,0.4014,20374199.0
2020-07-17,0.4013,0.4145,0.3817,0.3974,20009184.6
2020-07-18,0.3975,0.4299,0.3873,0.4183,28183369.8
2020-07-19,0.4185,0.4317,0.4023,0.4199,21542013.8
2020-07-20,0.4201,0.4287,0.3932,0.3952,15138343.1
2020-07-21,0.3951,0.41,0.3924,0.4005,9623335.4
2020-07-22,0.4006,0.409,0.3969,0.4005,8833259.7
2020-07-23,0.4005,0.4113,0.3875,0.3929,12829570.8
2020-07-24,0.3928,0.3963,0.3831,0.3873,11909983.4
2020-07-25,0.3873,0.4005,0.3841,0.3948,13659609.7
2020-07-26,0.395,0.3974,0.3765,0.3859,12513848.5
2020-07-27,0.3859,0.389,0.3372,0.3672,24303725.5
2020-07-28,0.3674,0.3862,0.3626,0.3826,13828147.7
2020-07-29,0.3828,0.412,0.3827,0.3846,25751061.8
2020-07-30,0.3848,0.3954,0.3784,0.3887,10891575.6
2020-07-31,0.3887,0.3939,0.3789,0.3815,9527431.5
2020-08-01,0.3815,0.4098,0.3795,0.4006,19554262.2
2020-08-02,0.4006,0.4121,0.3,0.3797,23822193.2
2020-08-03,0.3801,0.3927,0.3738,0.3818,10536766.3
2020-08-04,0.3819,0.4087,0.3818,0.3981,17597500.4
2020-08-05,0.3982,0.4133,0.3905,0.3973,18666479.3
2020-08-06,0.3975,0.4175,0.3855,0.4142,25624304.4
