Code,Return
A000250,109.00
A000440,-6.00
A001000,46.00
A001540,30.00
A001810,80.00
A001840,-25.00
A002230,-4.00
A002290,28.00
A002680,70.00
A002800,-3.00
A003100,-9.00
A003310,-56.00
A003380,-4.00
A003800,18.00
A004590,24.00
A004650,3.00
A004780,-7.00
A005160,-59.00
A005290,77.00
A005670,0
A005710,-11.00
A005860,26.00
A005990,80.00
A006050,289.00
A006140,31.00
A006580,-39.00
A006620,30.00
A006730,12.00
A006910,178.00
A006920,19.00
A007330,99.00
A007370,323.00
A007390,117.00
A007530,68.00
A007680,-8.00
A007720,-12.00
A007770,13.00
A007820,-9.00
A008290,22.00
A008370,-5.00
A008470,25.00
A008800,-2.00
A008830,34.00
A009300,-27.00
A009520,-29.00
A009620,13.00
A009730,49.00
A009780,290.00
A010170,-16.00
A010240,-16.00
A010280,77.00
A010470,36.00
A011040,32.00
A011080,71.00
A011320,243.00
A011370,140.00
A011560,-2.00
A012340,-2.00
A012620,-3.00
A012700,94.00
A012790,576.00
A012860,-29.00
A013030,11.00
A013120,90.00
A013310,-9.00
A013720,56.00
A013810,-42.00
A013990,-33.00
A014100,131.00
A014190,47.00
A014200,18.00
A014470,55.00
A014570,36.00
A014620,31.00
A014940,-64.00
A014970,124.00
A015710,13.00
A015750,23.00
A016100,74.00
A016250,-11.00
A016600,-58.00
A016670,-35.00
A016790,-11.00
A016920,5.00
A017000,81.00
A017250,1.00
A017480,21.00
A017510,29.00
A017650,-52.00
A017890,82.00
A018000,-47.00
A018120,8.00
A018290,-9.00
A018310,-15.00
A018620,53.00
A018680,402.00
A018700,-70.00
A019010,-24.00
A019210,52.00
A019540,96.00
A019550,2.00
A019570,31.00
A019590,-36.00
A019660,-31.00
A019770,82.00
A019990,-4.00
A020180,110.00
A020400,-42.00
A020710,-54.00
A021040,243.00
A021045,303.00
A021080,47.00
A021320,-53.00
A021650,-16.00
A021880,-22.00
A022100,16.00
A022220,5.00
A023160,-26.00
A023410,318.00
A023440,-31.00
A023460,34.00
A023600,29.00
A023760,-16.00
A023770,0
A023790,-50.00
A023900,15.00
A023910,438.00
A024060,-4.00
A024120,123.00
A024740,-42.00
A024800,-37.00
A024810,251.00
A024830,-18.00
A024840,15.00
A024850,-36.00
A024880,11.00
A024910,8.00
A024940,15.00
A024950,-35.00
A025320,131.00
A025440,17.00
A025550,-17.00
A025770,-13.00
A025870,-38.00
A025880,-54.00
A025900,-15.00
A025950,-37.00
A025980,8.00
A026040,106.00
A026150,26.00
A026910,144.00
A027040,-25.00
A027050,52.00
A027360,-3.00
A027580,-61.00
A027710,31.00
A027830,-4.00
